MAXIMUM_TEMPERATURE;MINIMUM_TEMPERATURE;CALCULATED_RADIATION;RAINFALL;WINDSPEED;HUMMAX;E0;ES0;ET0
26.1;14.9;18158;0;;90;;;4.87
27.4;12.6;21952;0;;90;;;5.49
27.4;11.1;19771;0;;89;;;5.07
26.5;16.3;16548;0;;88;;;4.46
30.6;13.8;20478;0;;89;;;6.17
34.8;18.3;22777;0;;86;;;7.08
30.1;16.9;18550;0;;88;;;5.23
27.8;17.2;17511;0;;89.5;;;5.16
25.2;13.7;16507;0;;87.8;;;4.64
26.7;13.4;17082;0;;88;;;5.07
27.6;15.7;12986;0;;87;;;4.34
32.7;20;20377;0;;87.5;;;5.89
26.8;15.3;16216;0;;87.5;;;4.67
31.3;14.9;20383;0;;87.5;;;6.2
31.1;17.1;18782;0;;100;;;5.77
26.9;17.4;15016;0;;100;;;4.34
28.8;14.3;17485;0;;100;;;5.31
35.1;17.5;21029;0.4;;66;;;7.33
28.7;19.5;14581;0;;72;;;4.99
25;16;13017;0;;65;;;4.74
29.4;14.1;19431;0;;72.8;;;6.2
34.6;14.9;22338;0;;74;;;7.58
